Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
label,div,1.0,0.0,0.1667,0.5625,0.2653,0.9434,0.1667,0.0,1.0,grey,black,0.0026,LabelCandidate
label,div,1.0,0.0,0.0,0.3889,0.5667,0.2105,0.625,0.0,1.0,grey,black,0.0232,LabelCandidate
span,div,0.0,0.0,0.0,0.4615,0.1429,0.8106,0.2105,0.0,1.0,grey,black,0.0041,LabelCandidate
label,div,0.0,0.0,0.1818,0.7059,0.1122,0.9854,0.5,0.0,1.0,grey,black,0.0031,LabelCandidate
span,div,0.0,0.0,0.1111,0.5385,0.1429,0.8207,0.2105,0.0,1.0,grey,black,0.01,LabelCandidate
label,div,1.0,0.0,0.1111,0.7308,0.1837,0.9268,0.2105,0.0,1.0,grey,black,0.0031,LabelCandidate
label,div,1.0,0.0,0.2222,0.9615,0.1837,0.9621,0.2105,0.0,1.0,grey,black,0.0031,LabelCandidate
span,div,0.0,0.0,0.0,0.6923,0.1122,0.9464,0.8333,0.0,1.0,white,black,0.0178,LabelCandidate
label,div,1.0,0.0,0.3333,0.9615,0.1837,0.8586,0.2105,0.0,1.0,red,black,0.0031,LabelCandidate
label,div,1.0,0.0,0.3333,0.9615,0.1837,0.9343,0.2105,0.0,1.0,red,black,0.0031,LabelCandidate
label,div,1.0,0.0,0.1667,0.5625,0.1122,0.9504,0.1667,0.0,1.0,grey,black,0.0026,LabelCandidate
label,div,1.0,0.0,0.0833,0.8824,0.2347,0.9313,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0833,0.9412,0.1122,0.9493,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0769,0.9333,0.1122,0.9158,0.2105,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0769,1.0,0.1122,0.9485,0.2105,0.0,1.0,grey,black,0.0027,LabelCandidate
